character,double,triple,count,userd,usert,get1,startdate
maki,68940,104644,1,6000,1200,62800,2013-10-05
kotori,67246,113679,1,8000,1400,73000,2013-11-05
hanayo,64378,102078,1,8000,1400,81500,2013-12-05
nico,72554,107973,1,10000,2000,111500,2014-01-05
rin,75509,108188,1,10000,2000,123800,2014-02-05
nico,80310,108790,2,11500,2300,143121,2014-03-05
maki,59540,88955,2,21000,4200,154293,2014-04-05
umi,65091,101520,1,23000,4600,203877,2014-05-05
rin,60349,92486,2,30000,6000,236759,2014-06-05
nozomi,56228,90164,1,35000,7000,263255,2014-07-05
nico,63886,99886,3,40000,8000,329698,2014-08-05
honoka,59777,87722,1,45000,9000,326440,2014-09-05
hanayo,61588,88882,2,45000,9000,316600,2014-10-05
eri,63548,89777,1,45000,9000,319281,2014-11-05
